Frequency (Hz)	Level (dB)
10077.539062	-50.927631
10120.605469	-49.513084
10163.671875	-50.198143
10206.738281	-53.622776
10249.804688	-50.182953
10292.871094	-51.016464
10335.937500	-49.514389
10379.003906	-55.930222
10422.070312	-50.133804
10465.136719	-51.397007
10508.203125	-50.002857
10551.269531	-53.659206
10594.335938	-51.135452
10637.402344	-50.540146
10680.468750	-51.343052
10723.535156	-51.730759
10766.601562	-53.827358
10809.667969	-49.785202
10852.734375	-51.995747
10895.800781	-51.191532
10938.867188	-55.754215
10981.933594	-49.931396
11025.000000	-51.500549
11068.066406	-51.873013
11111.132812	-55.055729
11154.199219	-51.596992
11197.265625	-50.340359
11240.332031	-52.922756
11283.398438	-53.236332
11326.464844	-54.110653
11369.531250	-49.545158
11412.597656	-52.807323
11455.664062	-53.196404
11498.730469	-57.018818
11541.796875	-50.036678
11584.863281	-51.479683
11627.929688	-54.077351
11670.996094	-56.015858
11714.062500	-51.644707
11757.128906	-50.143620
11800.195312	-54.413265
11843.261719	-55.197876
11886.328125	-55.191124
11929.394531	-49.769650
11972.460938	-53.350208
12015.527344	-55.421890
12058.593750	-57.584545
12101.660156	-50.339371
12144.726562	-51.408588
12187.792969	-56.079178
12230.859375	-57.527332
12273.925781	-52.158195
12316.992188	-50.081455
12360.058594	-55.506313
12403.125000	-57.435932
12446.191406	-55.509026
12489.257812	-49.837715
12532.324219	-53.505844
12575.390625	-58.033989
12618.457031	-58.575523
12661.523438	-50.710373
12704.589844	-51.323875
12747.656250	-58.105049
12790.722656	-59.289379
12833.789062	-52.820843
12876.855469	-50.046055
12919.921875	-55.983067
12962.988281	-60.528774
13006.054688	-55.977322
13049.121094	-50.057037
13092.187500	-53.557892
13135.253906	-61.712234
13178.320312	-59.050064
13221.386719	-51.229664
13264.453125	-51.437069
13307.519531	-60.684540
13350.585938	-60.663540
13393.652344	-53.548145
13436.718750	-50.524418
13479.785156	-56.945518
13522.851562	-62.285355
13565.917969	-56.503925
13608.984375	-50.904163
13652.050781	-54.134659
13695.117188	-63.477589
13738.183594	-58.596188
13781.250000	-52.733536
13824.316406	-52.771690
13867.382812	-59.412231
13910.449219	-57.102097
13953.515625	-60.705212
13996.582031	-63.135803
14039.648438	-64.977623
14082.714844	-61.850410
14125.781250	-63.233364
14168.847656	-66.425217
14211.914062	-67.385193
14254.980469	-63.917717
14298.046875	-63.018372
14341.113281	-67.869804
14384.179688	-69.391930
14427.246094	-68.541420
14470.312500	-68.409149
14513.378906	-68.562103
14556.445312	-69.088608
14599.511719	-69.100052
14642.578125	-69.527802
14685.644531	-70.103813
14728.710938	-70.375076
14771.777344	-70.059837
14814.843750	-69.754593
14857.910156	-69.848068
14900.976562	-70.375633
14944.042969	-70.455841
14987.109375	-70.806114
15030.175781	-70.636032
15073.242188	-70.661911
15116.308594	-70.862770
15159.375000	-70.525124
15202.441406	-70.699875
15245.507812	-70.927322
15288.574219	-71.622215
15331.640625	-71.185051
15374.707031	-71.425209
15417.773438	-71.079597
15460.839844	-71.409164
15503.906250	-71.132011
15546.972656	-71.654091
15590.039062	-72.151741
15633.105469	-71.948318
15676.171875	-71.664825
15719.238281	-71.636368
15762.304688	-72.172394
15805.371094	-71.787270
15848.437500	-72.298813
15891.503906	-72.202888
15934.570312	-72.822792
15977.636719	-72.189056
16020.703125	-72.378197
16063.769531	-72.393501
16106.835938	-72.698654
16149.902344	-72.809975
16192.968750	-72.875145
16236.035156	-73.068497
16279.101562	-72.836723
16322.167969	-73.193634
16365.234375	-72.817947
16408.300781	-73.347816
16451.367188	-73.065414
16494.433594	-73.728706
16537.500000	-73.266647
16580.566406	-73.655762
16623.632812	-73.518257
16666.699219	-73.658691
16709.765625	-73.321609
16752.832031	-73.639725
16795.898438	-74.243576
16838.964844	-74.142975
16882.031250	-74.041763
16925.097656	-73.600914
16968.164062	-74.101105
17011.230469	-73.971230
17054.296875	-74.313240
17097.363281	-74.374367
17140.429688	-74.563957
17183.496094	-74.246971
17226.562500	-74.151337
17269.628906	-74.406914
17312.695312	-74.519188
17355.761719	-74.666168
17398.828125	-74.462166
17441.894531	-74.882637
17484.960938	-74.702553
17528.027344	-74.717003
17571.093750	-74.542534
17614.160156	-74.740494
17657.226562	-74.950699
17700.292969	-75.035339
17743.359375	-75.134193
17786.425781	-74.880180
17829.492188	-75.051666
17872.558594	-74.789459
17915.625000	-75.206314
17958.691406	-74.970581
18001.757812	-75.464279
18044.824219	-75.268120
18087.890625	-75.374405
18130.957031	-75.039429
18174.023438	-75.214394
18217.089844	-75.315170
18260.156250	-75.383476
18303.222656	-75.702507
18346.289062	-75.591957
18389.355469	-75.614212
18432.421875	-75.096939
18475.488281	-75.582939
18518.554688	-75.620132
18561.621094	-75.936928
18604.687500	-75.626587
18647.753906	-75.853363
18690.820312	-75.724648
18733.886719	-75.771873
18776.953125	-75.753273
18820.019531	-75.845009
18863.085938	-75.999748
18906.152344	-75.959618
18949.218750	-76.210342
18992.285156	-75.996277
19035.351562	-76.020203
19078.417969	-75.883316
19121.484375	-76.127480
19164.550781	-76.178749
19207.617188	-76.415558
19250.683594	-76.386658
19293.750000	-76.193298
19336.816406	-76.153702
19379.882812	-76.155266
19422.949219	-76.474121
19466.015625	-76.395073
19509.082031	-76.584076
19552.148438	-76.463364
19595.214844	-76.538879
19638.281250	-76.330345
19681.347656	-76.401672
19724.414062	-76.541199
19767.480469	-76.714478
19810.546875	-76.776001
19853.613281	-76.664139
19896.679688	-76.645081
19939.746094	-76.463943
19982.812500	-76.635651
20025.878906	-76.727486
20068.945312	-76.898033
20112.011719	-76.774261
20155.078125	-76.793900
20198.144531	-76.763855
20241.210938	-76.735878
20284.277344	-76.687790
20327.343750	-76.728416
20370.410156	-76.916786
20413.476562	-76.882950
20456.542969	-77.015312
20499.609375	-76.842117
20542.675781	-76.739517
20585.742188	-76.643272
20628.808594	-76.957642
20671.875000	-77.097824
20714.941406	-77.035461
20758.007812	-76.930473
20801.074219	-76.871796
20844.140625	-76.872314
20887.207031	-76.775223
20930.273438	-77.021507
20973.339844	-77.048187
21016.406250	-77.106667
21059.472656	-76.975990
21102.539062	-77.047974
21145.605469	-76.898384
21188.671875	-76.859291
21231.738281	-77.000618
21274.804688	-77.191414
21317.871094	-77.224304
21360.937500	-77.073044
21404.003906	-77.059937
21447.070312	-76.886848
21490.136719	-77.034981
21533.203125	-77.092674
21576.269531	-77.297478
21619.335938	-77.140625
21662.402344	-77.247650
21705.468750	-77.120743
21748.535156	-77.087959
21791.601562	-76.839371
21834.667969	-77.122200
21877.734375	-77.332542
21920.800781	-77.282959
21963.867188	-77.166054
22006.933594	-77.033401
